image_path,label,labels_encoded,split
Glaucoma/Glaucoma826.jpg,Glaucoma,3,train
Glaucoma/Glaucoma702.jpg,Glaucoma,3,train
Glaucoma/Glaucoma926.jpg,Glaucoma,3,train
Healthy/Healthy820.jpg,Healthy,4,train
Macular Scar/Macular Scar114.jpg,Macular Scar,5,train
Healthy/Healthy714.jpg,Healthy,4,train
Diabetic Retinopathy/DR1166.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma955.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1462.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR987.jpg,Diabetic Retinopathy,1,train
Myopia/Myopia478.jpg,Myopia,6,train
Glaucoma/Glaucoma1111.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1373.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma650.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1470.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma755.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR909.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma1331.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR34.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma1292.jpg,Glaucoma,3,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR18.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Myopia/Myopia467.jpg,Myopia,6,train
Diabetic Retinopathy/DR95.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy897.jpg,Healthy,4,train
Healthy/Healthy589.jpg,Healthy,4,train
Healthy/Healthy891.jpg,Healthy,4,train
Glaucoma/Glaucoma271.jpg,Glaucoma,3,train
Healthy/Healthy334.jpg,Healthy,4,train
Glaucoma/Glaucoma485.jpg,Glaucoma,3,train
Glaucoma/Glaucoma2.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR233.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1281.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR794.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy557.jpg,Healthy,4,train
Myopia/Myopia180.jpg,Myopia,6,train
Myopia/Myopia159.jpg,Myopia,6,train
Diabetic Retinopathy/DR1321.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1024.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR654.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy641.jpg,Healthy,4,train
Macular Scar/Macular Scar128.jpg,Macular Scar,5,train
Myopia/Myopia421.jpg,Myopia,6,train
Healthy/Healthy600.jpg,Healthy,4,train
Myopia/Myopia357.jpg,Myopia,6,train
Retinitis Pigmentosa/Retinitis Pigmentosa114.jpg,Retinitis Pigmentosa,8,train
Healthy/Healthy935.jpg,Healthy,4,train
Macular Scar/Macular Scar4.jpg,Macular Scar,5,train
Glaucoma/Glaucoma510.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR443.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1215.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy109.jpg,Healthy,4,train
Glaucoma/Glaucoma670.jpg,Glaucoma,3,train
Macular Scar/Macular Scar71.jpg,Macular Scar,5,train
Myopia/Myopia42.jpg,Myopia,6,train
Diabetic Retinopathy/DR1067.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma1160.jpg,Glaucoma,3,train
Myopia/Myopia226.jpg,Myopia,6,train
Diabetic Retinopathy/DR346.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma821.jpg,Glaucoma,3,train
Retinitis Pigmentosa/Retinitis Pigmentosa123.jpg,Retinitis Pigmentosa,8,train
Healthy/Healthy997.jpg,Healthy,4,train
Healthy/Healthy311.jpg,Healthy,4,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR43.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Healthy/Healthy257.jpg,Healthy,4,train
Glaucoma/Glaucoma1152.jpg,Glaucoma,3,train
Healthy/Healthy47.jpg,Healthy,4,train
Healthy/Healthy27.jpg,Healthy,4,train
Glaucoma/Glaucoma318.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR240.jpg,Diabetic Retinopathy,1,train
Macular Scar/Macular Scar406.jpg,Macular Scar,5,train
Glaucoma/Glaucoma1297.jpg,Glaucoma,3,train
Myopia/Myopia136.jpg,Myopia,6,train
Glaucoma/Glaucoma1058.jpg,Glaucoma,3,train
Glaucoma/Glaucoma1040.jpg,Glaucoma,3,train
Glaucoma/Glaucoma90.jpg,Glaucoma,3,train
Healthy/Healthy411.jpg,Healthy,4,train
Diabetic Retinopathy/DR1432.jpg,Diabetic Retinopathy,1,train
Disc Edema/Disc Edema47.jpg,Disc Edema,2,train
Healthy/Healthy636.jpg,Healthy,4,train
Diabetic Retinopathy/DR330.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1343.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma480.jpg,Glaucoma,3,train
Glaucoma/Glaucoma880.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR933.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma166.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR670.jpg,Diabetic Retinopathy,1,train
Retinal Detachment/Retinal Detachment108.jpg,Retinal Detachment,7,train
Glaucoma/Glaucoma1191.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR824.jpg,Diabetic Retinopathy,1,train
Myopia/Myopia245.jpg,Myopia,6,train
Myopia/Myopia401.jpg,Myopia,6,train
Healthy/Healthy393.jpg,Healthy,4,train
Glaucoma/Glaucoma569.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR216.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR983.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma1310.jpg,Glaucoma,3,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR59.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Diabetic Retinopathy/DR1185.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR49.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma1043.jpg,Glaucoma,3,train
Glaucoma/Glaucoma623.jpg,Glaucoma,3,train
Healthy/Healthy499.jpg,Healthy,4,train
Diabetic Retinopathy/DR1320.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma625.jpg,Glaucoma,3,train
Retinitis Pigmentosa/Retinitis Pigmentosa124.jpg,Retinitis Pigmentosa,8,train
Healthy/Healthy427.jpg,Healthy,4,train
Healthy/Healthy742.jpg,Healthy,4,train
Retinal Detachment/Retinal Detachment26.jpg,Retinal Detachment,7,train
Glaucoma/Glaucoma554.jpg,Glaucoma,3,train
Glaucoma/Glaucoma656.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1458.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR965.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy196.jpg,Healthy,4,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR6.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Glaucoma/Glaucoma874.jpg,Glaucoma,3,train
Myopia/Myopia297.jpg,Myopia,6,train
Myopia/Myopia236.jpg,Myopia,6,train
Diabetic Retinopathy/DR9.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1506.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1502.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma359.jpg,Glaucoma,3,train
Glaucoma/Glaucoma708.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR331.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy947.jpg,Healthy,4,train
Macular Scar/Macular Scar52.jpg,Macular Scar,5,train
Diabetic Retinopathy/DR131.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma408.jpg,Glaucoma,3,train
Healthy/Healthy845.jpg,Healthy,4,train
Glaucoma/Glaucoma875.jpg,Glaucoma,3,train
Myopia/Myopia18.jpg,Myopia,6,train
Diabetic Retinopathy/DR345.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR504.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma668.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR806.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR858.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1377.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR927.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1473.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR217.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma902.jpg,Glaucoma,3,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR40.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Retinitis Pigmentosa/Retinitis Pigmentosa11.jpg,Retinitis Pigmentosa,8,train
Diabetic Retinopathy/DR444.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy687.jpg,Healthy,4,train
Diabetic Retinopathy/DR183.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma133.jpg,Glaucoma,3,train
Myopia/Myopia189.jpg,Myopia,6,train
Healthy/Healthy871.jpg,Healthy,4,train
Glaucoma/Glaucoma469.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR741.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR839.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma617.jpg,Glaucoma,3,train
Glaucoma/Glaucoma255.jpg,Glaucoma,3,train
Glaucoma/Glaucoma848.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR962.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR534.jpg,Diabetic Retinopathy,1,train
Retinal Detachment/Retinal Detachment18.jpg,Retinal Detachment,7,train
Diabetic Retinopathy/DR423.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy337.jpg,Healthy,4,train
Myopia/Myopia88.jpg,Myopia,6,train
Diabetic Retinopathy/DR236.jpg,Diabetic Retinopathy,1,train
Macular Scar/Macular Scar268.jpg,Macular Scar,5,train
Retinal Detachment/Retinal Detachment78.jpg,Retinal Detachment,7,train
Healthy/Healthy15.jpg,Healthy,4,train
Diabetic Retinopathy/DR886.jpg,Diabetic Retinopathy,1,train
Retinal Detachment/Retinal Detachment71.jpg,Retinal Detachment,7,train
Glaucoma/Glaucoma849.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR620.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR728.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy530.jpg,Healthy,4,train
Healthy/Healthy433.jpg,Healthy,4,train
Healthy/Healthy53.jpg,Healthy,4,train
Myopia/Myopia178.jpg,Myopia,6,train
Diabetic Retinopathy/DR1007.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma894.jpg,Glaucoma,3,train
Macular Scar/Macular Scar123.jpg,Macular Scar,5,train
Myopia/Myopia235.jpg,Myopia,6,train
Diabetic Retinopathy/DR184.jpg,Diabetic Retinopathy,1,train
Macular Scar/Macular Scar163.jpg,Macular Scar,5,train
Diabetic Retinopathy/DR744.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy1020.jpg,Healthy,4,train
Glaucoma/Glaucoma1298.jpg,Glaucoma,3,train
Glaucoma/Glaucoma475.jpg,Glaucoma,3,train
Healthy/Healthy194.jpg,Healthy,4,train
Glaucoma/Glaucoma831.jpg,Glaucoma,3,train
Glaucoma/Glaucoma24.jpg,Glaucoma,3,train
Macular Scar/Macular Scar351.jpg,Macular Scar,5,train
Diabetic Retinopathy/DR1053.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma538.jpg,Glaucoma,3,train
Glaucoma/Glaucoma1294.jpg,Glaucoma,3,train
Glaucoma/Glaucoma1206.jpg,Glaucoma,3,train
Healthy/Healthy827.jpg,Healthy,4,train
Healthy/Healthy735.jpg,Healthy,4,train
Retinitis Pigmentosa/Retinitis Pigmentosa6.jpg,Retinitis Pigmentosa,8,train
Diabetic Retinopathy/DR988.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma426.jpg,Glaucoma,3,train
Macular Scar/Macular Scar313.jpg,Macular Scar,5,train
Glaucoma/Glaucoma1172.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR137.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy293.jpg,Healthy,4,train
Macular Scar/Macular Scar427.jpg,Macular Scar,5,train
Glaucoma/Glaucoma167.jpg,Glaucoma,3,train
Macular Scar/Macular Scar264.jpg,Macular Scar,5,train
Glaucoma/Glaucoma1028.jpg,Glaucoma,3,train
Healthy/Healthy647.jpg,Healthy,4,train
Glaucoma/Glaucoma977.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR138.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma563.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1335.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR7.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy688.jpg,Healthy,4,train
Glaucoma/Glaucoma336.jpg,Glaucoma,3,train
Healthy/Healthy21.jpg,Healthy,4,train
Healthy/Healthy901.jpg,Healthy,4,train
Diabetic Retinopathy/DR277.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR816.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma1288.jpg,Glaucoma,3,train
Glaucoma/Glaucoma205.jpg,Glaucoma,3,train
Healthy/Healthy733.jpg,Healthy,4,train
Healthy/Healthy1.jpg,Healthy,4,train
Glaucoma/Glaucoma428.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR38.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma1200.jpg,Glaucoma,3,train
Myopia/Myopia24.jpg,Myopia,6,train
Glaucoma/Glaucoma183.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1483.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma1241.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR483.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR518.jpg,Diabetic Retinopathy,1,train
Myopia/Myopia489.jpg,Myopia,6,train
Glaucoma/Glaucoma1202.jpg,Glaucoma,3,train
Glaucoma/Glaucoma1032.jpg,Glaucoma,3,train
Glaucoma/Glaucoma1285.jpg,Glaucoma,3,train
Healthy/Healthy855.jpg,Healthy,4,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR79.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Macular Scar/Macular Scar376.jpg,Macular Scar,5,train
Diabetic Retinopathy/DR1145.jpg,Diabetic Retinopathy,1,train
Disc Edema/Disc Edema120.jpg,Disc Edema,2,train
Diabetic Retinopathy/DR485.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy326.jpg,Healthy,4,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR99.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Macular Scar/Macular Scar156.jpg,Macular Scar,5,train
Glaucoma/Glaucoma1123.jpg,Glaucoma,3,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR26.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Diabetic Retinopathy/DR4.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma98.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1172.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma437.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR629.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy558.jpg,Healthy,4,train
Myopia/Myopia40.jpg,Myopia,6,train
Macular Scar/Macular Scar135.jpg,Macular Scar,5,train
Disc Edema/Disc Edema25.jpg,Disc Edema,2,train
Healthy/Healthy1018.jpg,Healthy,4,train
Glaucoma/Glaucoma612.jpg,Glaucoma,3,train
Myopia/Myopia111.jpg,Myopia,6,train
Diabetic Retinopathy/DR133.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy147.jpg,Healthy,4,train
Macular Scar/Macular Scar235.jpg,Macular Scar,5,train
Healthy/Healthy110.jpg,Healthy,4,train
Retinal Detachment/Retinal Detachment54.jpg,Retinal Detachment,7,train
Diabetic Retinopathy/DR18.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR272.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma378.jpg,Glaucoma,3,train
Healthy/Healthy979.jpg,Healthy,4,train
Healthy/Healthy764.jpg,Healthy,4,train
Retinitis Pigmentosa/Retinitis Pigmentosa112.jpg,Retinitis Pigmentosa,8,train
Healthy/Healthy66.jpg,Healthy,4,train
Glaucoma/Glaucoma878.jpg,Glaucoma,3,train
Glaucoma/Glaucoma51.jpg,Glaucoma,3,train
Healthy/Healthy1002.jpg,Healthy,4,train
Diabetic Retinopathy/DR176.jpg,Diabetic Retinopathy,1,train
Macular Scar/Macular Scar327.jpg,Macular Scar,5,train
Glaucoma/Glaucoma1096.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR282.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy243.jpg,Healthy,4,train
Disc Edema/Disc Edema83.jpg,Disc Edema,2,train
Glaucoma/Glaucoma744.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1480.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR242.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma22.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR865.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy98.jpg,Healthy,4,train
Glaucoma/Glaucoma68.jpg,Glaucoma,3,train
Healthy/Healthy841.jpg,Healthy,4,train
Macular Scar/Macular Scar90.jpg,Macular Scar,5,train
Glaucoma/Glaucoma1312.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR828.jpg,Diabetic Retinopathy,1,train
Retinitis Pigmentosa/Retinitis Pigmentosa75.jpg,Retinitis Pigmentosa,8,train
Disc Edema/Disc Edema75.jpg,Disc Edema,2,train
Diabetic Retinopathy/DR26.jpg,Diabetic Retinopathy,1,train
Macular Scar/Macular Scar388.jpg,Macular Scar,5,train
Glaucoma/Glaucoma1336.jpg,Glaucoma,3,train
Glaucoma/Glaucoma1051.jpg,Glaucoma,3,train
Healthy/Healthy632.jpg,Healthy,4,train
Myopia/Myopia322.jpg,Myopia,6,train
Diabetic Retinopathy/DR29.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma303.jpg,Glaucoma,3,train
Myopia/Myopia424.jpg,Myopia,6,train
Diabetic Retinopathy/DR610.jpg,Diabetic Retinopathy,1,train
Disc Edema/Disc Edema48.jpg,Disc Edema,2,train
Diabetic Retinopathy/DR555.jpg,Diabetic Retinopathy,1,train
Disc Edema/Disc Edema49.jpg,Disc Edema,2,train
Myopia/Myopia12.jpg,Myopia,6,train
Diabetic Retinopathy/DR14.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR93.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1399.jpg,Diabetic Retinopathy,1,train
Retinal Detachment/Retinal Detachment31.jpg,Retinal Detachment,7,train
Diabetic Retinopathy/DR572.jpg,Diabetic Retinopathy,1,train
Macular Scar/Macular Scar372.jpg,Macular Scar,5,train
Diabetic Retinopathy/DR1517.jpg,Diabetic Retinopathy,1,train
